Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,New_Volume(L),Material Name,Points
26/8/2023,B,ERW_BM2U2020110030,Reseller,Ratchaburi,145577,4340,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",8680
17/4/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145500,6600,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",13200
2/9/2023,D,ERW_DBG72020110074,Retails,Nakhon Si Thammarat,145500,2120,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",4240
27/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,5096,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",10192
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145497,12180,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",24360
6/12/2023,A,ERW_AMBP2020110322,Retails,Khon Kaen,145498,5060,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",10120
9/12/2023,A,ERW_AMBP2020110322,Retails,Khon Kaen,145498,4920,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",9840
26/5/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145500,5120,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",10240
26/10/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,8800,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",8800
31/5/2023,B,ERW_BM2U2020110040,Retails,Chainat,145498,8540,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 1X20L.",17080
25/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,145500,5880,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",11760
30/3/2023,B,ERW_BM2U2020110127,Reseller,Kanchanaburi,145500,5380,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",10760
13/12/2023,B,ERW_BM2U2020110035,Reseller,Suphan Buri,145500,8880,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",17760
31/10/2023,B,ERW_BM2U2020110035,Reseller,Suphan Buri,145500,8440,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",16880
28/6/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143160,10248,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",20496
26/6/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143160,7644,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",15288
20/12/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145577,13356,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",26712
17/8/2023,B,ERW_BM2U2020110177,Retails,Nakhon Pathom,145497,616,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",1232
25/9/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,145497,168,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",336
28/9/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145497,9716,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",19432
8/6/2023,D,ERW_DBG72020110075,Retails,Chumphon,145497,1400,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",2800
20/6/2023,D,ERW_DBG72020110075,Retails,Chumphon,145577,13244,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",26488
10/2/2023,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,143160,13720,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",27440
25/4/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,142939,1340,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",2680
24/2/2023,A,ERW_ADG22021040108,Retails,Khon Kaen,142939,1240,"Mobil Delvac Super 1400 15W‐40, 1X18LT.",2480
5/4/2023,A,ERW_AMBP2020110217,Retails,Nakhon Ratchasima,142930,5620,"Mobil Delvac MX 15W-40, 1X18L.",11240
27/3/2023,A,ERW_ARPA2023060001,Retails,Yasothon,140918,6380,"Mobil GEO 15W-40, 1X18L.",6380
21/12/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145438,6160,"Mobil Delvac Legend 20W-50 Standard Defense, 1X20L.",6160
30/3/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,143160,2968,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",5936
18/11/2023,C,ERW_C08P2020090176,Retails,Chiang Rai,145577,6440,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",12880
12/5/2023,B,ERW_BM2U2020110040,Retails,Chainat,145497,1204,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",2408
31/5/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145474,13972,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",27944
29/3/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,141539,1204,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",2408
22/3/2023,D,ERW_DGVG2021110003,Reseller,Phangnga,143160,168,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",336
20/12/2023,B,ERW_BM2U2020110053,Retails,Nakhon Pathom,145500,4500,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",9000
25/7/2023,D,ERW_DBG72020110082,Reseller,Songkhla,145500,460,"Mobil Delvac Modern 15W-40 Super Defense, 1X20L.",920
3/4/2023,A,ERW_AMBP2020110082,Retails,Bangkok,145577,6328,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",12656
23/12/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145577,13272,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",26544
3/4/2023,A,ERW_AMBP2020110400,Retails,Bangkok,145577,7252,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",14504
10/3/2023,A,ERW_AMBP2020110467,Retails,Lop Buri,143160,11760,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",23520
13/12/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,11144,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",22288
27/4/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,4480,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",8960
29/3/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,8484,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",16968
28/11/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,5096,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",10192
23/12/2023,A,ERW_AMBP2020110030,Retails,Bangkok,145577,6216,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",12432
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145474,7672,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",15344
28/9/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,6552,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",13104
30/8/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,728,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",1456
28/3/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145577,224,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",448
21/7/2023,A,ERW_AMBP2020110142,Reseller,Saraburi,145474,13804,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",27608
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,28,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",56
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,7840,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",15680
9/2/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,1848,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",3696
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145474,3752,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",7504
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,6916,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",13832
12/6/2023,A,ERW_AMBP2020110201,Reseller,Trat,145474,12908,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",25816
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,7308,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",14616
2/5/2023,A,ERW_AMBP2020110201,Reseller,Trat,143629,4956,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",9912
21/9/2023,A,ERW_AMBP2020110503,Retails,Chon Buri,145474,7056,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",14112
17/4/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145577,10416,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",20832
17/4/2023,A,ERW_AMBP2020110671,Reseller,Chai Nat,145474,9912,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",19824
26/7/2023,A,ERW_AMBP2020110740,Retails,Ubon Ratchathani,145474,8624,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",17248
12/7/2023,A,ERW_AMBP2020110745,Retails,Chon Buri,145474,672,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",1344
3/8/2023,A,ERW_AMBP2020110745,Retails,Chon Buri,145474,7784,"Mobil Delvac Modern 15W-40 Super Defense, 4X7L.",15568
10/7/2023,B,ERW_BM2U2020110005,Reseller,Bangkok,145497,1204,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",2408
26/1/2023,D,ERW_DBG72020110028,Reseller,Chumphon,143160,2296,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",4592
23/5/2023,D,ERW_DBG72020110028,Reseller,Chumphon,143160,5320,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",10640
28/9/2023,D,ERW_DBG72020110028,Reseller,Chumphon,145497,3164,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",6328
11/7/2023,D,ERW_DBG72020110035,Retails,Nakhon Si Thammarat,142931,13944,"Mobil Delvac MX 15W-40, 4X6+1L.",27888
4/5/2023,D,ERW_DBG72020110038,Reseller,Phuket,143160,9884,"Mobil Delvac Super 1400 15W‐40, 4X6+1L.",19768
6/12/2023,D,ERW_DBG72020110038,Reseller,Phuket,145577,1176,"Mobil Super Friction Fighter Turbospeed  10W-30, 4x7L.",2352
27/11/2023,D,ERW_DBG72020110075,Retails,Chumphon,145497,12264,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",24528
25/12/2023,D,ERW_DYZP2023100001,Reseller,Chumphon,145497,5992,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",11984
26/9/2023,D,ERW_DYZP2023100001,Reseller,Chumphon,145497,7896,"Mobil Delvac Legend CH-4 15W-40 Heavy Duty, 4X7L.",15792
13/3/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,12964,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",25928
1/3/2023,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,143629,11284,"Mobil Super 2000 Turbo Speed 10W-30, 4X7L.",22568
13/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143628,8456,"Mobil Super 1000 Turbo Speed 15W-40, 4X7L.",8456
1/3/2023,A,ERW_AMBP2020110207,Reseller,Chachoengsao,143628,6804,"Mobil Super 1000 Turbo Speed 15W-40, 4X7L.",6804
23/8/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145575,2800,"Mobil Super Everyday Protection Turbospeed 15W-40, 4x7L.",2800
18/9/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,145575,10472,"Mobil Super Everyday Protection Turbospeed 15W-40, 4x7L.",10472
21/3/2023,A,ERW_AMBP2020110206,Reseller,Chachoengsao,135896,6260,"Mobilube HD 85W-140, 1X18L.",6260
