UserId,GarageId,UserType
EXL_1570101228429,MD1281,Owner
EXL_1570101507011,ON8263,Owner
EXL_1570111687000,OB9750,Owner
EXL_1570111910249,AC0414,Owner
EXL_1570111933813,YK2446,Owner
EXL_1570111967692,AG0911,Owner
EXL_1570113398007,LE0311,Owner
EXL_1570113746920,LE0311,Employee
EXL_1570115355202,RF3252,Owner
EXL_1570117896170,XY0902,Owner
EXL_1570118966974,CQ1784,Owner
EXL_1570119565356,VZ7122,Owner
EXL_1570120765838,FP3078,Employee
EXL_1570121673277,TE0162,Employee
EXL_1570122461158,OI3577,Owner
EXL_1570122481149,EQ1611,Owner
EXL_1570170337644,RP9091,Owner
EXL_1570177505383,CL1962,Owner
EXL_1570177507852,WM2281,Owner
EXL_1570179156311,LE0311,Employee
EXL_1570179668052,YU4354,Owner
EXL_1570179698373,WM2281,Employee
EXL_1570179868675,WJ5050,Owner
EXL_1570180752677,HR9453,Owner
EXL_1570182634203,RI2609,Owner
EXL_1570184042551,YR3283,Owner
EXL_1570185335329,IT2798,Owner
EXL_1570185708919,RI2609,Employee
EXL_1570188708636,UX6610,Owner
EXL_1570189006970,AJ5912,Owner
EXL_1570189044763,RK3102,Owner
EXL_1570189047741,XF0645,Employee
EXL_1570189049304,OE7081,Owner
EXL_1570189162956,XF0645,Owner
EXL_1570189209644,PV2906,Owner
EXL_1570189239318,ZZ0186,Owner
EXL_1570189487320,KH2813,Owner
EXL_1570195966372,WU2193,Owner
EXL_1570196340291,LE0311,Employee
EXL_1570196435938,GB6322,Owner
EXL_1570196886742,HY4008,Owner
EXL_1570196952566,AL9188,Owner
EXL_1570197241275,CB5846,Owner
EXL_1570197827509,DX4247,Owner
EXL_1570198717018,UK7170,Owner
EXL_1570199681579,RO3467,Owner
EXL_1570201473655,SX2166,Owner
EXL_1570201746201,NV9404,Owner
EXL_1570202037113,VF5821,Owner
EXL_1570202545676,YT9500,Owner
EXL_1570202647597,AX4462,Owner
EXL_1570202786704,MT4789,Owner
EXL_1570203334096,AX4462,Employee
EXL_1570204199314,QQ6984,Owner
EXL_1570206165763,MV7593,Owner
EXL_1570212128776,SF8835,Owner
EXL_1570223805542,OH1999,Owner
EXL_1570269462467,TV2811,Owner
EXL_1570269536996,WV5370,Owner
EXL_1570269946302,MB2835,Owner
EXL_1570271598492,QO6734,Owner
EXL_1570271960699,EZ4511,Owner
EXL_1570272347660,RC5502,Owner
EXL_1570277072911,ID3265,Owner
EXL_1570284750609,KJ5590,Owner
EXL_1570285006949,DT8347,Employee
EXL_1570287486495,FK4638,Owner
EXL_1570288111677,FK4638,Employee
EXL_1570290997831,PM5324,Owner
EXL_1570291641691,HE9601,Owner
EXL_1570294619166,KI1888,Owner
EXL_1570318363879,NV9404,Employee
EXL_1570369186304,CS5058,Owner
EXL_1570437158648,VS6244,Owner
EXL_1570441816011,DB8439,Owner
EXL_1570442267847,ZY0688,Employee
EXL_1570443900284,NQ8518,Owner
EXL_1570446002877,OR3750,Owner
EXL_1570446265919,CJ5243,Owner
EXL_1570452438738,CX1485,Owner
EXL_1570455522626,NA8353,Owner
EXL_1570456902452,DH3663,Owner
EXL_1570457287827,JT8450,Owner
EXL_1570457489646,SI9396,Owner
EXL_1570458593896,XU9431,Owner
EXL_1570459345478,JO8674,Owner
EXL_1570459964615,AL1607,Owner
EXL_1570460919045,TH9943,Owner
EXL_1570464889385,RO0923,Owner
EXL_1570464946804,MA4208,Owner
EXL_1570465416506,IY5408,Owner
EXL_1570470510057,WZ4927,Owner
EXL_1570521912738,VP4537,Owner
EXL_1570527636097,QR7822,Owner
EXL_1570527966914,US2022,Owner
EXL_1570528918788,MG9729,Owner
EXL_1570530974238,FZ6263,Owner
EXL_1570531433541,IS8340,Owner
EXL_1570532491458,WD4381,Owner
EXL_1570533148494,EQ9077,Owner
EXL_1570534501945,WD4381,Employee
EXL_1570534554851,DJ9258,Owner
EXL_1570536190464,QB3070,Owner
EXL_1570536449603,QB3070,Employee
EXL_1570537283938,DF7815,Owner
EXL_1570541206927,IH4316,Owner
EXL_1570541400785,VS2547,Owner
EXL_1570541916390,EZ4511,Employee
EXL_1570541995928,UB2668,Owner
EXL_1570542058104,YV2973,Owner
EXL_1570542096039,OH3046,Owner
EXL_1570542541898,OH3046,Employee
EXL_1570543026958,VQ5039,Owner
EXL_1570543345453,JM5799,Owner
EXL_1570543489097,UF9256,Owner
EXL_1570543869033,LP5001,Owner
EXL_1570544086700,LP5001,Employee
EXL_1570544209634,VS2547,Employee
EXL_1570544366878,GB0464,Owner
EXL_1570544808797,GE8877,Owner
EXL_1570545027337,US0890,Owner
EXL_1570545221928,JY0053,Employee
EXL_1570546538400,GB3455,Owner
EXL_1570548237366,GE4856,Owner
EXL_1570549270704,AV6299,Owner
EXL_1570549963684,AV6299,Employee
EXL_1570549998002,JY0053,Owner
EXL_1570551551492,PR2489,Owner
EXL_1570553628247,RA1113,Owner
EXL_1570605802952,PB2052,Owner
EXL_1570616374492,AF0708,Employee
EXL_1570616881245,NW8593,Owner
EXL_1570617252559,LA0772,Owner
EXL_1570617757617,SS4498,Owner
EXL_1570617946148,PZ3405,Owner
EXL_1570619474709,FK9187,Owner
EXL_1570619657509,WB6112,Owner
EXL_1570619853967,PZ2979,Owner
EXL_1570620581610,LL9969,Owner
EXL_1570621002920,RJ0000,Employee
EXL_1570621178080,RJ0000,Owner
EXL_1570621872839,ET6588,Owner
EXL_1570622012773,RJ0000,Employee
EXL_1570622123194,EM1300,Owner
EXL_1570622819462,EM1300,Employee
EXL_1570623972926,RS3660,Owner
EXL_1570624444169,KS4480,Owner
EXL_1570626119088,EN8361,Owner
EXL_1570627367624,TP4715,Owner
EXL_1570627410027,FP7740,Owner
EXL_1570628127594,OB0484,Owner
EXL_1570629190547,OB0484,Employee
EXL_1570629598326,GM8829,Owner
EXL_1570629627490,RO0882,Owner
EXL_1570629748328,WH5207,Owner
EXL_1570629997195,WY8278,Owner
EXL_1570630262714,DY5500,Owner
EXL_1570630753741,WR5629,Owner
EXL_1570630992490,NK6226,Owner
EXL_1570633026185,YK0437,Owner
EXL_1570633234932,KV3262,Owner
EXL_1570634765583,VB0349,Owner
EXL_1570635251158,GM5177,Owner
EXL_1570636434129,FI3752,Owner
EXL_1570636969875,VY9051,Owner
EXL_1570636971369,PE9564,Owner
EXL_1570637645203,MN3093,Owner
EXL_1570638566144,AU6190,Owner
EXL_1570641550014,HE4439,Owner
EXL_1570647179064,EH0383,Owner
EXL_1570701225628,PS3327,Owner
EXL_1570701274653,SJ7860,Owner
EXL_1570704685218,VZ1510,Owner
EXL_1570705575445,KQ7751,Owner
EXL_1570706675843,TZ8313,Owner
EXL_1570707608811,TY3198,Owner
EXL_1570708044834,FV2281,Owner
EXL_1570710838209,BA8182,Owner
EXL_1570712188115,TE9969,Owner
EXL_1570714148246,DQ1776,Owner
EXL_1570714370076,HS9506,Owner
EXL_1570714725322,JL1684,Owner
EXL_1570715882753,RH5515,Owner
EXL_1570716116598,HS9506,Employee
EXL_1570716546977,SP2594,Owner
EXL_1570716696348,HS9506,Employee
EXL_1570717644799,IX5664,Owner
EXL_1570717772373,GU4490,Owner
EXL_1570718407206,EL7280,Owner
EXL_1570718650114,NB2536,Owner
EXL_1570719177065,NE1026,Owner
EXL_1570721019641,OR7934,Owner
EXL_1570721854545,XM6230,Owner
EXL_1570722860580,BZ4479,Owner
EXL_1570723667357,LV8040,Owner
EXL_1570723714036,PY4289,Owner
EXL_1570723945938,MB2835,Employee
EXL_1570726168737,JE5556,Owner
EXL_1570788850243,PA7319,Owner
EXL_1570789470599,DJ6751,Owner
EXL_1570790135952,UK2884,Owner
EXL_1570790187072,DJ6751,Employee
EXL_1570790369363,WE1472,Owner
EXL_1570790992523,DJ6751,Employee
EXL_1570791401231,CZ5409,Owner
EXL_1570791764230,OT9157,Owner
EXL_1570792679670,TS4921,Owner
EXL_1570793607837,DX4446,Owner
EXL_1570793651277,FC4128,Owner
EXL_1570794052681,ZN2082,Owner
EXL_1570795949650,ZT7303,Owner
EXL_1570796309949,XT0537,Owner
EXL_1570798225542,WH4482,Owner
EXL_1570798564937,BB3046,Owner
EXL_1570798889600,WH4482,Employee
EXL_1570800163338,QQ7871,Owner
EXL_1570800281892,WH4482,Employee
EXL_1570800733060,WQ6754,Owner
EXL_1570800868508,EU1090,Owner
EXL_1570800899407,MC9934,Owner
EXL_1570802549497,AX2663,Owner
EXL_1570802561694,MW9287,Owner
EXL_1570803753946,RO0882,Employee
EXL_1570805314477,WH4482,Employee
EXL_1570806431665,NK3278,Owner
EXL_1570807045880,TO8926,Owner
EXL_1570807501855,JA8073,Owner
EXL_1570809078914,KM2664,Owner
EXL_1570811002609,IE4470,Owner
EXL_1570868290516,DJ6751,Employee
EXL_1570872405606,HB4346,Owner
EXL_1570872641048,BP1467,Owner
EXL_1570875310144,AC5279,Owner
EXL_1570875403484,IQ2587,Owner
EXL_1570877456198,QT1221,Owner
EXL_1570879012562,WH4482,Employee
EXL_1570879267469,WH4482,Employee
EXL_1570879480546,KH1281,Owner
EXL_1570881976400,AC5279,Employee
EXL_1570882475114,SX4177,Owner
EXL_1570884281341,YO5211,Owner
EXL_1570886391219,OW3515,Owner
EXL_1570897062286,LF6320,Owner
EXL_1570899542837,HP7559,Owner
EXL_1571000517916,UB2208,Owner
EXL_1571046038112,IA5595,Owner
EXL_1571051116936,EW0070,Owner
EXL_1571053776946,GV6455,Owner
EXL_1571055253076,VB5102,Owner
EXL_1571057351768,LS4711,Owner
EXL_1571057522412,IJ6357,Owner
EXL_1571058936407,IF3560,Owner
EXL_1571059769796,NX4665,Owner
EXL_1571061409662,ME5548,Owner
EXL_1571062972585,IR5438,Owner
EXL_1571067037257,QV2063,Owner
EXL_1571135696894,ZQ8129,Owner
EXL_1571139329889,NH3963,Owner
EXL_1571139861625,NT2170,Owner
EXL_1571144843531,DN6307,Owner
EXL_1571146515337,FC2152,Owner
EXL_1571146632365,SY1798,Owner
EXL_1571146638896,JI2454,Owner
EXL_1571146670383,TT7737,Owner
EXL_1571146672976,ZB3921,Owner
EXL_1571146678749,UG7527,Owner
EXL_1571146685547,KZ2220,Owner
EXL_1571146689403,ZK5412,Owner
EXL_1571146689996,PY9615,Owner
EXL_1571146695009,NP6013,Owner
EXL_1571146700483,TJ5365,Owner
EXL_1571146701080,YP5633,Owner
EXL_1571146889477,GW7345,Owner
EXL_1571147171658,KQ4823,Owner
EXL_1571148032297,GF9420,Owner
EXL_1571148604185,PA0205,Owner
EXL_1571150457553,YC5399,Owner
EXL_1571151992710,TY8655,Owner
EXL_1571157856943,HE8621,Owner
EXL_1571158467438,BS0721,Owner
EXL_1571222095792,TT1211,Owner
EXL_1571222896246,CX9780,Owner
EXL_1571225409434,UM8584,Owner
EXL_1571225445641,RY6383,Owner
EXL_1571226263866,LV4640,Owner
EXL_1571227387632,FD5875,Employee
EXL_1571228139698,FD5875,Owner
EXL_1571228196275,UW2098,Owner
EXL_1571231674816,FS6142,Owner
EXL_1571233738874,LV4957,Owner
EXL_1571234462483,TH8623,Owner
EXL_1571234580641,LJ2325,Owner
EXL_1571234748554,WD8029,Owner
EXL_1571234773472,ED3574,Owner
EXL_1571235099769,LB4511,Owner
EXL_1571236828554,MB5799,Owner
EXL_1571238331571,MW7478,Owner
EXL_1571239253507,EP0334,Owner
EXL_1571240236155,PP7493,Owner
EXL_1571241113734,PP7493,Employee
EXL_1571241227643,DP0969,Owner
EXL_1571243185358,FE5066,Owner
EXL_1571301701284,MX3688,Owner
EXL_1571305708443,DP0788,Owner
EXL_1571306912519,BY2134,Owner
EXL_1571307526400,QU4249,Owner
EXL_1571308106213,AM2435,Owner
EXL_1571309042709,JV3666,Owner
EXL_1571309072154,GW0661,Owner
EXL_1571309112029,QU4249,Employee
EXL_1571310968929,GW0661,Employee
EXL_1571310969607,TC4298,Owner
EXL_1571311002155,QI4022,Owner
EXL_1571311140818,TC4298,Employee
EXL_1571311964785,KC3753,Owner
EXL_1571312078187,QE1362,Owner
EXL_1571312740453,UB5286,Owner
EXL_1571313391811,ED6720,Owner
EXL_1571314537276,KP1547,Owner
EXL_1571316664992,VY0978,Owner
EXL_1571317249441,HN1206,Owner
EXL_1571318100906,MB0048,Owner
EXL_1571318500794,SB2111,Owner
EXL_1571321136205,OA6732,Owner
EXL_1571322486836,FZ4879,Owner
EXL_1571325714089,MQ9936,Owner
EXL_1571330266845,ZQ8129,Employee
EXL_1571330948241,YA5354,Owner
EXL_1571331825740,ZQ8129,Employee
EXL_1571332245646,ZQ8129,Employee
EXL_1571386589053,CP1043,Owner
EXL_1571391403049,QX2150,Owner
EXL_1571396102766,ND3457,Owner
EXL_1571399378613,AT7215,Owner
EXL_1571400327129,YM0289,Owner
EXL_1571401345786,CT3621,Owner
EXL_1571405406438,KU8490,Owner
EXL_1571406405585,ED1029,Owner
EXL_1571406607246,XA2234,Owner
EXL_1571408721883,MX2888,Owner
EXL_1571408913391,VU4033,Owner
EXL_1571409724141,QD0901,Owner
EXL_1571411179145,QB6049,Owner
EXL_1571412338916,EX8922,Owner
EXL_1571414605940,AI1156,Owner
EXL_1571474981353,YW9237,Owner
EXL_1571478478974,QN8783,Owner
EXL_1571478806309,BO4658,Owner
EXL_1571479161578,ZV9016,Owner
EXL_1571480629923,XP1829,Owner
EXL_1571481907739,BK4404,Owner
EXL_1571482901314,DO7224,Owner
EXL_1571482957958,VL2681,Owner
EXL_1571482989638,SS6561,Owner
EXL_1571483315673,OI6863,Owner
EXL_1571483615456,SS6561,Employee
EXL_1571485349153,KH8866,Owner
EXL_1571486200146,WC4161,Owner
EXL_1571489566197,NM1172,Owner
EXL_1571492716497,DS8546,Owner
EXL_1571493446083,VG9573,Owner
EXL_1571494309482,ZI0003,Owner
EXL_1571495217854,YA3456,Owner
EXL_1571499212809,DL6189,Owner
EXL_1571500159979,LT7264,Owner
EXL_1571503215684,WS6105,Owner
EXL_1571508176537,XG4643,Owner
EXL_1571518369825,MH1467,Owner
EXL_1571588766657,AN1334,Owner
EXL_1571651107317,LW2465,Owner
EXL_1571653603068,HP7013,Owner
EXL_1571656320299,VD3826,Owner
EXL_1571659899107,RX1283,Owner
EXL_1571663497752,UY5580,Owner
EXL_1571664063324,RO3663,Owner
EXL_1571665753397,TE2780,Owner
EXL_1571668863458,AH9568,Owner
EXL_1571669350470,DT7562,Owner
EXL_1571677596854,CA7486,Owner
EXL_1571680770905,ZQ7466,Owner
EXL_1571741885179,SQ2095,Owner
EXL_1571742720967,QR7654,Owner
EXL_1571743333289,QR8935,Owner
EXL_1571744186083,AE5085,Employee
EXL_1571744425411,AE5085,Owner
EXL_1571744841953,VI7187,Owner
EXL_1571745201509,QS2917,Owner
EXL_1571745213337,VX7786,Owner
EXL_1571746108062,VI7187,Employee
EXL_1571746125414,AY7802,Owner
EXL_1571746623729,FZ4879,Employee
EXL_1571746724981,GG2138,Owner
EXL_1571749938385,YZ0687,Owner
EXL_1571750343744,ZC9636,Owner
EXL_1571750354556,RM0973,Owner
EXL_1571750866983,HZ6498,Owner
EXL_1571751021697,AW2048,Owner
EXL_1571751083242,NW7705,Owner
EXL_1571751202990,OA5915,Owner
EXL_1571751393975,RM0973,Employee
EXL_1571753809296,IA7658,Owner
EXL_1571754087727,UA7691,Owner
EXL_1571754438472,WW9735,Owner
EXL_1571757600480,ZW7687,Owner
EXL_1571758443977,BH4050,Owner
EXL_1571759934013,UV9733,Owner
EXL_1571761753340,DJ4014,Owner
EXL_1571762407828,XM6230,Employee
EXL_1571762783689,UJ3284,Owner
EXL_1571762794018,DX5335,Owner
EXL_1571763404967,KV7480,Owner
EXL_1571763419244,MY2263,Owner
EXL_1571764713975,QF9781,Owner
EXL_1571826897509,GP3041,Owner
EXL_1571827579043,BT8749,Owner
EXL_1571828010403,FO0772,Owner
EXL_1571830101186,EA0855,Owner
EXL_1571833053662,OU6893,Owner
EXL_1571836695103,DR1278,Owner
EXL_1571838528259,OV9221,Owner
EXL_1571838962877,AE0230,Owner
EXL_1571840131530,II3989,Owner
EXL_1571842351053,TC8665,Owner
EXL_1571843268912,CL2713,Owner
EXL_1571844430269,HJ7693,Owner
EXL_1571849830115,CZ7265,Owner
EXL_1571906291128,ZB8415,Owner
EXL_1571910485453,JO3677,Owner
EXL_1571911873009,RK9127,Owner
EXL_1571912477885,IH8247,Owner
EXL_1571913130389,SW4348,Owner
EXL_1571914104381,PF4951,Owner
EXL_1571914331904,CG6085,Owner
EXL_1571916375646,SW4348,Employee
EXL_1571917053088,KT5807,Owner
EXL_1571917144260,CA5938,Owner
EXL_1571918139700,TH0109,Owner
EXL_1571918410961,DC7050,Owner
EXL_1571920756472,YJ4159,Owner
EXL_1571921050264,VT5903,Owner
EXL_1571921058795,KW7345,Owner
EXL_1571921495672,SX7754,Owner
EXL_1571922907268,MZ6347,Owner
EXL_1571923445664,TC6893,Owner
EXL_1571923451903,YV8515,Owner
EXL_1571923798330,YV8515,Employee
EXL_1571924016062,AW6625,Owner
EXL_1571924322450,KR0048,Owner
EXL_1571924525749,AT2190,Owner
EXL_1571924934610,AT2190,Employee
EXL_1571925268688,MG8290,Owner
EXL_1571925461860,WG0245,Owner
EXL_1571925791426,AX0432,Owner
EXL_1571926011667,FU4132,Owner
EXL_1571926190896,FU4132,Employee
EXL_1571926225194,LY9755,Owner
EXL_1571927367479,LY9755,Employee
EXL_1571927427469,CM6506,Owner
EXL_1571927526954,ZM7732,Owner
EXL_1571927661589,LT9043,Owner
EXL_1571928081118,JR3219,Owner
EXL_1571928804881,HI8861,Owner
EXL_1571930552334,QX7821,Owner
EXL_1571930576773,GF7928,Owner
EXL_1571930620657,XB4981,Owner
EXL_1571930919833,SD0129,Owner
EXL_1571931470761,GG9248,Owner
EXL_1571931757446,WD6977,Owner
EXL_1571932546549,RN1354,Owner
EXL_1571934477132,KW9152,Owner
EXL_1571935648541,ES1569,Owner
EXL_1571937080427,PZ5872,Owner
EXL_1571937088497,HS5740,Owner
EXL_1571937530516,II3610,Owner
EXL_1571994547920,LS7912,Owner
EXL_1571996171364,VQ3855,Owner
EXL_1571997795019,YT1344,Owner
EXL_1571999201143,BP1361,Owner
EXL_1571999272188,XP6126,Owner
EXL_1572001023863,DP5486,Owner
EXL_1572001061844,HT8878,Owner
EXL_1572001982898,LG1151,Owner
EXL_1572003147827,AE4939,Owner
EXL_1572003174265,ZO1838,Owner
EXL_1572003622513,NY5102,Owner
EXL_1572003914440,JP6613,Owner
EXL_1572003919576,QN0182,Owner
EXL_1572003977834,ZV2416,Owner
EXL_1572004057351,NY5102,Employee
EXL_1572005187708,RD1861,Owner
EXL_1572005757980,XO0582,Owner
EXL_1572007259585,PX6451,Owner
EXL_1572007722342,AP7753,Owner
EXL_1572008258841,LY6273,Owner
EXL_1572009125526,VU1330,Owner
EXL_1572011431402,TV9700,Owner
EXL_1572011763656,TZ6786,Owner
EXL_1572012356857,SN0577,Owner
EXL_1572012548744,CU2392,Owner
EXL_1572013983913,WZ1416,Owner
EXL_1572014120296,QL2720,Owner
EXL_1572015055461,QD8419,Owner
EXL_1572015096729,IY5408,Employee
EXL_1572015372814,IY5408,Employee
EXL_1572015952229,UA8401,Owner
EXL_1572015993277,FS4923,Owner
EXL_1572016306993,FI3170,Owner
EXL_1572017054955,RK7209,Owner
EXL_1572017271659,QT1272,Owner
EXL_1572018262480,IF0168,Owner
EXL_1572018336444,BJ3215,Owner
EXL_1572018618432,XM6230,Employee
EXL_1572019422133,XM6230,Employee
EXL_1572020409647,EY0659,Owner
EXL_1572023816047,MS2482,Owner
EXL_1572028314586,SM2082,Owner
EXL_1572031960696,WF8514,Owner
EXL_1572080550745,GC8826,Owner
EXL_1572084413603,FV2374,Owner
EXL_1572084490244,IB0557,Owner
EXL_1572084676324,JU6178,Owner
EXL_1572084716702,LA8986,Owner
EXL_1572085251885,LA8986,Employee
EXL_1572085501455,YP9347,Owner
EXL_1572086618178,FJ7273,Owner
EXL_1572087215878,MH6251,Owner
EXL_1572087385725,OP1480,Owner
EXL_1572087455336,HQ6832,Owner
EXL_1572088047475,FJ7273,Employee
EXL_1572088573805,NO8013,Owner
EXL_1572088828771,IJ1015,Owner
EXL_1572089141525,NF1975,Owner
EXL_1572090523944,LE8846,Owner
EXL_1572090640295,BK4990,Owner
EXL_1572090650892,ZQ8129,Employee
EXL_1572092217383,ET6884,Owner
EXL_1572094734106,OQ8495,Owner
EXL_1572096024517,CT9447,Owner
EXL_1572096199898,DH9819,Owner
EXL_1572096816265,DB0896,Owner
EXL_1572098301814,HY7502,Owner
EXL_1572100195190,WY9194,Owner
EXL_1572100963741,LE7465,Owner
EXL_1572102669253,EP0334,Employee
EXL_1572102805065,WR6037,Owner
EXL_1572103377224,TH3501,Owner
EXL_1572104097936,ZD7622,Owner
EXL_1572104564149,ZD7622,Employee
EXL_1572105800493,RP4903,Owner
EXL_1572111396330,CU1328,Owner
EXL_1572118671743,DL5107,Owner
EXL_1572258065243,WV9537,Owner
EXL_1572258571153,OO5938,Owner
EXL_1572258951721,OG3161,Owner
EXL_1572259873128,OG3161,Employee
EXL_1572260922153,VE3448,Owner
EXL_1572260978614,VE3448,Employee
EXL_1572261670873,OP5830,Owner
EXL_1572267456038,GW7716,Owner
EXL_1572268795123,YL5914,Owner
EXL_1572268925724,YU7343,Owner
EXL_1572270650549,AC2021,Owner
EXL_1572270772552,VI3845,Owner
EXL_1572272787384,FO0779,Owner
EXL_1572273284708,GK9545,Owner
EXL_1572273816386,WZ3017,Owner
EXL_1572273902627,VV4630,Owner
EXL_1572274325158,DP8248,Owner
EXL_1572274836220,UH2518,Owner
EXL_1572275293137,DP8248,Employee
EXL_1572275766482,JL4685,Owner
EXL_1572275965054,JF5831,Owner
EXL_1572276035581,DP8248,Employee
EXL_1572342725135,TD4519,Owner
EXL_1572344276042,VG5233,Owner
EXL_1572344968822,FQ3780,Owner
EXL_1572345750768,UZ6565,Owner
EXL_1572346237997,HJ6600,Owner
EXL_1572346704551,XO1908,Owner
EXL_1572346727113,UZ6565,Employee
EXL_1572346802371,TL7680,Owner
EXL_1572347123502,CA8723,Owner
EXL_1572347418091,QE1036,Owner
EXL_1572349389994,NU7315,Owner
EXL_1572349836949,LO4003,Owner
EXL_1572350212713,RY6854,Owner
EXL_1572350294254,BX9538,Owner
EXL_1572350639544,TB7281,Owner
EXL_1572350759628,NX5432,Owner
EXL_1572351230100,LN8061,Owner
EXL_1572351284688,ZT8444,Owner
EXL_1572351299860,PS1256,Owner
EXL_1572351804470,PU0969,Owner
EXL_1572352003257,ZT8444,Employee
EXL_1572352908396,PU0969,Employee
EXL_1572352935356,EW1931,Owner
EXL_1572353458135,EZ1295,Owner
EXL_1572353554178,BL9221,Owner
EXL_1572354275684,MM6196,Owner
EXL_1572354491660,OW8744,Owner
EXL_1572354729255,NV5481,Owner
EXL_1572356617728,QK6501,Owner
EXL_1572356912608,KB2104,Owner
EXL_1572357034648,XG5734,Owner
EXL_1572357094431,NG4873,Owner
EXL_1572358478201,PC8517,Owner
EXL_1572359112328,RT0892,Owner
EXL_1572360675189,YN7669,Owner
EXL_1572360891136,WA4041,Owner
EXL_1572361642265,NC4430,Owner
EXL_1572361904195,PC8517,Employee
EXL_1572362088574,YS8934,Owner
EXL_1572362517209,UF0816,Owner
EXL_1572363748291,OT3216,Owner
EXL_1572364420878,OW2692,Owner
EXL_1572364487617,IH2188,Owner
EXL_1572371259719,GO4078,Owner
EXL_1572423751349,NC4430,Employee
EXL_1572424805163,SB8153,Owner
EXL_1572426034816,EM1300,Employee
EXL_1572428777559,OG9361,Owner
EXL_1572431901960,VJ6701,Owner
EXL_1572432782758,KM4902,Owner
EXL_1572434262267,KA3038,Owner
EXL_1572435731178,VU0335,Owner
EXL_1572436301012,VU0335,Employee
EXL_1572436636281,NL5538,Owner
EXL_1572437358489,WP3151,Employee
EXL_1572439457230,XO8694,Owner
EXL_1572439882506,NL4467,Owner
EXL_1572440039388,OU0434,Owner
EXL_1572440461053,HN5905,Owner
EXL_1572440958854,PT5707,Owner
EXL_1572441172186,NW2411,Owner
EXL_1572441545008,ZR0276,Owner
EXL_1572441720873,JD2615,Owner
EXL_1572441986149,FV1192,Owner
EXL_1572442511796,HZ5786,Owner
EXL_1572443017097,AG7594,Owner
EXL_1572443475420,GY4882,Owner
EXL_1572443901878,GK8885,Owner
EXL_1572446052052,HB0698,Owner
EXL_1572446242319,OO8167,Owner
EXL_1572446959942,GM4263,Owner
EXL_1572447187483,TX4276,Employee
EXL_1572448495915,VT9651,Owner
EXL_1572449458135,TR2306,Owner
EXL_1572449624460,HE7400,Owner
EXL_1572450928106,CO8675,Owner
EXL_1572453419860,DI5806,Owner
EXL_1572457621242,CO9533,Owner
EXL_1572512802767,DX6958,Owner
EXL_1572513803318,BQ7015,Owner
EXL_1572517921435,FS8600,Owner
EXL_1572520015922,CP0296,Owner
EXL_1572522891727,MZ4239,Owner
EXL_1572524599200,PF0342,Owner
EXL_1572526862553,GP6103,Owner
EXL_1572529204724,BV7686,Owner
EXL_1572529927977,VT7795,Owner
EXL_1572531809017,EH3050,Owner
EXL_1572532917193,EH3050,Employee
EXL_1572536530329,GE2014,Owner
EXL_1572556773111,VX9279,Owner
EXL_1572601874856,BJ8950,Owner
EXL_1572602069207,QO6134,Owner
EXL_1572606464921,UF4137,Owner
EXL_1572606554694,ZW3679,Owner
EXL_1572607494920,YV2218,Owner
EXL_1572610829584,EC9024,Employee
EXL_1572611334584,ZT0942,Owner
EXL_1572612722890,HL9775,Owner
EXL_1572614553258,EC9024,Owner
